id,building,condition,ownership,floor,area,energy_type,elevator,parking,barrierless,price,equipped,closest_transport_distance,closest_shop_distance,metro_distance,train_distance,restaurant_distance,distance_to_centre,balcony,cellar
1126687820,Cihlová,Velmi dobrý,Osobní,3,30,C,,,,4316000,False,182.0,75.0,1178.0,846,150,6.663928073493261,,
706021196,Panelová,Velmi dobrý,Osobní,6,28,C,True,,,2849000,Částečně,203.0,383.0,314.0,3967,442,9.933154240859517,,
1098516044,Cihlová,Před rekonstrukcí,Osobní,3,53,G,True,,,6641000,Částečně,17.0,138.0,616.0,964,175,2.1733073263512015,True,True
2021213772,Smíšená,Ve výstavbě,Osobní,3,33,B,True,,,6256000,,282.0,599.0,557.0,767,1473,3.8061687638887305,True,
4030605132,Cihlová,Novostavba,Osobní,2,41,B,True,True,True,6498000,Částečně,141.0,479.0,2847.0,1304,1172,4.706800328735851,True,
28280652,Panelová,Velmi dobrý,Osobní,2,28,D,True,,True,3048000,Částečně,347.0,156.0,1306.0,1082,260,8.03609294977097,,True
1872501084,Smíšená,Ve výstavbě,Osobní,3,29,B,,1,,4268000,,96.0,156.0,3247.0,875,447,11.043603523225839,True,True
287074124,Panelová,Dobrý,Osobní,2,35,C,True,,False,3646000,Částečně,59.0,273.0,1795.0,1094,339,7.386499405775355,True,True
2894431308,Cihlová,Dobrý,Osobní,1,27,G,False,,,3187000,,47.0,104.0,864.0,2450,81,3.44875252474314,,
216724556,Panelová,Po rekonstrukci,Družstevní,2,37,C,True,,,3387000,Částečně,318.0,434.0,1279.0,592,443,6.481780504172782,True,True
3633091660,Cihlová,Dobrý,Osobní,2,32,,False,,False,2742000,,282.0,212.0,493.0,991,207,4.416734947558282,,
3334969164,Panelová,Po rekonstrukci,Družstevní,4,27,C,True,,True,3121000,False,175.0,191.0,3000.0,1822,72,7.2730150481916205,,True
633128780,Smíšená,Novostavba,Osobní,6,40,B,True,,,6945000,False,35.0,57.0,181.0,2365,70,4.209081477480241,True,True
3523798860,Cihlová,Po rekonstrukci,Osobní,2,73,B,True,1,,8301000,True,282.0,280.0,2089.0,1430,506,7.8870579930324745,True,True
1227557212,Smíšená,Ve výstavbě,Osobní,4,37,B,,1,,5642000,,96.0,156.0,3247.0,875,447,8.870452276434287,True,
361617228,Panelová,Velmi dobrý,Osobní,2,30,C,True,,,3852000,False,122.0,299.0,3229.0,1869,284,6.884979044048588,,
2175620940,Cihlová,Ve výstavbě,Osobní,1,33,,True,,,4526000,Částečně,59.0,81.0,1092.0,1358,48,2.4098457727799847,,True
175281996,Smíšená,Velmi dobrý,Osobní,3,30,C,,,,5844000,True,144.0,190.0,454.0,1666,135,2.1729740161848174,,
1714652236,Smíšená,Velmi dobrý,Osobní,-,33,G,,,,4981000,False,156.0,434.0,1160.0,2117,619,2.4061526340195143,,
1115694924,Cihlová,Velmi dobrý,Osobní,4,45,G,True,,,6880000,,120.0,189.0,368.0,1429,57,2.0152996632271334,True,True
2016107356,Smíšená,Ve výstavbě,Osobní,8,34,B,,1,,4904000,,404.0,339.0,988.0,1274,832,8.06161509125313,True,True
3917129548,Cihlová,Velmi dobrý,Osobní,1,39,G,True,,,6575000,Částečně,289.0,165.0,1635.0,2364,686,4.111297192639837,True,
1599551308,Cihlová,Dobrý,Osobní,2,51,E,,,,5309000,,111.0,285.0,879.0,1447,82,2.370377555772581,,True
2461390412,Panelová,Po rekonstrukci,Družstevní,4,39,C,True,,True,4303000,Částečně,246.0,45.0,2360.0,6512,230,4.1632854158268655,True,True
912598604,Cihlová,Velmi dobrý,Osobní,5,67,,True,1,True,7039000,Částečně,239.0,316.0,1169.0,2553,205,3.4018105511600805,True,True
675236188,Smíšená,Novostavba,Osobní,3,42,B,True,,,6291000,False,35.0,57.0,181.0,2365,70,4.209081477480241,True,True
3134985804,Cihlová,Po rekonstrukci,Osobní,-,27,G,True,,True,2384000,,126.0,263.0,1165.0,2390,332,4.653489176582322,,
2679866444,Panelová,Po rekonstrukci,Družstevní,4,43,G,True,,True,3181000,,144.0,74.0,320.0,2037,245,10.550133713156255,True,True
1250826332,Smíšená,Ve výstavbě,Osobní,5,38,B,,1,,6557000,,96.0,156.0,3247.0,875,447,11.043603523225839,True,True
1594250828,Cihlová,Velmi dobrý,Osobní,1,37,C,True,,,4150000,Částečně,125.0,436.0,1135.0,1209,229,3.451294845144203,,
2731492940,Smíšená,Novostavba,Osobní,8,28,,True,True,True,4463000,,215.0,300.0,372.0,1777,281,7.351560699724477,,True
103028300,Cihlová,Po rekonstrukci,Osobní,1,27,G,True,,,5039000,,15.0,610.0,214.0,1094,53,2.6373446168846253,,True
2210822236,Cihlová,Velmi dobrý,Osobní,1,35,C,False,,,3778000,Částečně,58.0,115.0,91.0,1656,213,7.955084444859804,,True
7140940,Cihlová,Dobrý,Osobní,1,24,G,,,,3354000,,199.0,326.0,1560.0,2108,473,3.157847768477664,,
1196266572,Cihlová,Novostavba,Družstevní,2,41,C,True,True,,3579000,,249.0,310.0,2026.0,2818,653,7.818099958100081,True,
915949132,Cihlová,Velmi dobrý,Osobní,3,31,E,,,,3652000,,86.0,189.0,1407.0,2804,250,5.144230109954506,,
1979811660,Cihlová,Dobrý,Osobní,1,31,E,True,,,3978000,False,146.0,142.0,479.0,1972,60,2.948783529889202,,
